code,name
5727,"FIRSTDIGITAL TELECOM, LLC"
6483,NETWORK SERVICES LLC (TSR)
4450,NAVAJO COMM CO INC NM DBA NAVAJO COMM CO NM
8903,BAHAMAS TELECOMMUNICATIONS CORP.
905H,NEWCO2015 LIMITED
451G,CABLE BAHAMAS LTD
009C,SYSTEMS RESOURCE GROUP LIMITED - BS (BAHAMAS)
973G,LAST MILE COMMUNICATIONS LIMITED
456H,PEACE HOLDINGS COMMUNICATIONS LTD.
8086,TELUS COMMUNICATIONS (B.C.) INC.
078G,NAVIGATA COMMUNICATIONS LIMITED
705F,CITYWEST CABLE (NORTH) CORP. - BC
8820,FIDO SOLUTIONS INC
8092,"NORTHWESTEL, INC."
8082,CITY WEST CABLE AND TELEPHONE CORP.
8904,CABLE & WIRELESS BARBADOS
070H,ACE COMMUNICATIONS INC.
059B,DIGICEL (BARBADOS) LIMITED
873A,"SUNBEACH COMMUNICATIONS, INC."
912G,KARIB CABLE INC.
045E,TELEBARBADOS INC.
810H,OZONE WIRELESS (BARBADOS) INC.
248D,"WIISCOM TECHNOLOGIES, INC. - BD"
8905,BERMUDA TELEPHONE COMPANY
8847,QUANTUM COMMUNICATIONS LIMITED
4034,BERMUDA DIGITAL COMMUNICATIONS LTD.
174H,BERMUDA CABLEVISION LIMITED - BM
514B,NORTH ROCK COMMUNICATIONS LTD.
326H,FKBNET LTD
8906,CABLE & WIRELESS - TORTOLA
240F,DIGICEL (BVI) LIMITED
4537,CARIBBEAN CELLULAR TELEPHONE DBA BOATPHONE
2332,PONDEROSA TELEPHONE CO.
2308,CITIZENS TELECOM CA. DBA FRONTIER COM OF CA
373F,"PEERLESS NETWORK OF CALIFORNIA, LLC - CA"
981E,"BANDWIDTH.COM CLEC, LLC - CA"
4129,"O1 COMMUNICATIONS, INC. - CA"
7379,"MATRIX TELECOM, LLC. SII TNCI - CA"
7139,TELEPORT COMMUNICATIONS GROUP - LOS ANGELES
9740,PACIFIC BELL
7240,"MCI WORLDCOM COMMUNICATIONS, INC., CA"
576C,TIME WARNER CBL INFO SVCS (CA) DBA TIME WARNER CAB
2319,FRONTIER CALIFORNIA INC.
8690,"GLOBAL CROSSING LOCAL SERVICES, INC.-CA"
6006,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - CA
776C,"CHARTER FIBERLINK CA-CCO, LLC - CA"
258E,YMAX COMMUNICATIONS CORP. - CA
4733,"PAETEC COMMUNICATIONS, INC. - CA"
707H,"INTEGRATED PATH COMMUNICATIONS, LLC - CA"
7453,U.S. TELEPACIFIC CORP. - CA
7480,PACIFIC BELL - CLEC
9262,"UTILITY TELECOM GROUP, LLC - CA"
7718,"LEVEL 3 TELECOM OF CALIFORNIA, LP - CA"
899D,"METROPCS NETWORKS, LLC"
8782,"ALLEGIANCE TELECOM, INC. - CA"
8322,MPOWER COMMUNICATIONS CORP - CA
6967,33 WIRELESS INC.
808C,"INTRADO COMMUNICATIONS, LLC"
060G,"AIRUS, INC. - CA"
206C,"FUSION COMMUNICATIONS, LLC"
7661,"COX CALIFORNIA TELCOM, LLC - CA"
320H,VODEX COMMUNICATIONS CORPORATION - CA
7894,NORTH COUNTY COMMUNICATIONS CORP. - CA
478A,DMR COMMUNICATIONS INC. - CA
