regionnum,regionname,exact_match
693,"Rathdrum, ID (SYR)",
694,"Nez Perce, ID (SYR)",
695,"Wilder, ID (SYR)",
696,"Peck, ID (SYR)",
697,"Richfield, ID (SYR)",
698,"Cottonwood, ID (SYR)",
699,"Kellogg, ID (SYR)",
700,"Arco, ID (SYR)",
701,"Minidoka, ID (SYR)",
702,"Norland, ID (SYR)",
703,"Rockland, ID (SYR)",
704,"Wallace, ID (SYR)",
705,"Island Park, ID (SYR)",
706,"Alpine, ID (SYR)",
707,"Nu Acres, ID (SYR)",
708,"Wayan, ID (SYR)",
709,"South Mountain, ID (SYR)",
710,"Sweet, ID (SYR)",
711,"Mackay, ID (SYR)",
712,"Stanley, ID (SYR)",
713,"Blackfoot, ID (SYR)",
714,"Lapwai, ID (SYR)",
715,"Spirit Lake, ID (SYR)",
716,"Riggins, ID (SYR)",
717,"Warm Lake, ID (SYR)",
718,"Yellowpine, ID (SYR)",
719,"Warren, ID (SYR)",
720,"Elba, ID (SYR)",
721,"Malta, ID (SYR)",
722,"Ashton, ID (SYR)",
723,"Boise River, ID (SYR)",
724,"Hollister, ID (SYR)",
725,"Monteview, ID (SYR)",
726,"Hamer, ID (SYR)",
727,"Terreton, ID (SYR)",
728,"Cora, ID (SYR)",
729,"Albion, ID (SYR)",
730,"Plummer-Worley, ID (SYR)",
731,"Holbrook, ID (SYR)",
732,"Kamiah, ID (SYR)",
733,"Salmon (CTC), ID (SYR)",
734,"Mullan, ID (SYR)",
735,"Grasmere-Riddle, ID (SYR)",
736,"Fairfield, ID (SYR)",
737,"Malad, ID (SYR)",
738,"Leadore, ID (SYR)",
739,"Kilgore, ID (SYR)",
740,"Horseshoe Bend, ID (SYR)",
741,"Tipanuk, ID (SYR)",
742,"Kooskia, ID (SYR)",
743,"Carey, ID (SYR)",
744,"Almo, ID (SYR)",
745,"Bovill, ID (SYR)",
746,"Grand View, ID (SYR)",
747,"Lenore, ID (SYR)",
748,"Clayton, ID (SYR)",
749,"White Bird, ID (SYR)",
750,"Elk City, ID (SYR)",
751,"Montpelier, ID (SYR)",
752,"Three Creek, ID (SYR)",
753,"Wellesley, ID (SYR)",
754,"Oakley, ID (SYR)",
755,"Atlanta, ID (SYR)",
756,"Prairie, ID (SYR)",
757,"Freedom, ID (SYR)",
758,"Potlatch, ID (SYR)",
759,"May, ID (SYR)",
760,"Deary, ID (SYR)",
761,"Challis, ID (SYR)",
762,"Elk Bend, ID (SYR)",
763,"Marsing, ID (SYR)",
764,"Craigmont, ID (SYR)",
765,"Powell, ID (SYR)",
766,"Paris, ID (SYR)",
767,"Lodi, CA (BDI)",
768,"Merced, CA (BDI)",
769,"Turlock, CA (BDI)",
770,"Atwater, CA (BDI)",
771,"Modesto, CA (BDI)",
772,"Tuolumne, CA (BDI)",
773,"Tracy, CA (BDI)",
774,"Knights Ferry, CA (BDI)",
775,"Fresno, CA (BDI)",
776,"Sonora: Main DA, CA (BDI)",
777,"Gustine, CA (BDI)",
778,"Jackson, CA (BDI)",
779,"Stockton, CA (BDI)",
780,"Manteca, CA (BDI)",
781,"Newman, CA (BDI)",
782,"Plymouth, CA (BDI)",
783,"Galt, CA (BDI)",
784,"Ripon, CA (BDI)",
785,"Kirkwood Meadows, CA (BDI)",
